"","ST","STATE","OCC_CODE","OCC_TITLE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"950","SC","South Carolina","41-0000","Sales and Related Occupations","major",424,1.2,14.81,326,0.8,7.91,8.6,10.35,16.94,27.46,103,126,170,396,716
"951","SC","South Carolina","43-0000","Office and Administrative Support Occupations","major",583,0.8,15.13,345,0.5,8.73,10.73,13.95,18.02,23.09,213,309,371,447,580
"952","SC","South Carolina","45-0000","Farming, Fishing, and Forestry Occupations","major",741,4.1,14.83,328,2.3,8.29,9.74,12.93,18.12,23.26,8,232,309,457,582
"953","SC","South Carolina","47-0000","Construction and Extraction Occupations","major",973,2.1,17.81,506,0.8,10.11,12.6,16.25,21.51,27.58,369,447,489,602,718
"954","SC","South Carolina","49-0000","Installation, Maintenance, and Repair Occupations","major",1107,1.6,19.55,582,0.7,10.34,13.48,18.25,24.31,30.65,388,495,568,696,822
"955","SC","South Carolina","51-0000","Production Occupations","major",355,1.8,16.69,441,1.1,9.29,11.5,15.36,20.13,26.31,285,370,454,548,669
"956","SC","South Carolina","53-0000","Transportation and Material Moving Occupations","major",201,1.8,14.56,315,1.1,8.16,9.3,12.49,17.6,24.55,143,200,288,428,622
"957","SD","South Dakota","11-0000","Management Occupations","major",139,1.8,44.85,1105,1,18.59,27.81,39.78,54.29,76.34,750,956,1072,101,289
"958","SD","South Dakota","13-0000","Business and Financial Operations Occupations","major",339,1.8,27.23,806,1,17.12,20.6,25.32,31.58,39.88,708,777,789,868,1028
"959","SD","South Dakota","15-0000","Computer and Mathematical Occupations","major",961,2.3,27.55,814,1.1,16.24,20.02,25.76,33.65,42.61,666,762,806,905,1054
"960","SD","South Dakota","17-0000","Architecture and Engineering Occupations","major",743,2.4,28.64,839,1.1,16.17,20,27.31,35.23,43.87,664,760,848,942,1076
"961","SD","South Dakota","19-0000","Life, Physical, and Social Science Occupations","major",616,2.1,24.73,765,1.4,13.45,17.15,22.97,30.36,37.49,558,664,726,850,993
"962","SD","South Dakota","21-0000","Community and Social Service Occupations","major",877,2,17.45,492,1,11.19,14.11,16.93,20.37,24.28,444,533,516,555,614
"963","SD","South Dakota","23-0000","Legal Occupations","major",76,4.4,33.94,943,4.9,15.42,19.69,26.98,41.09,56.37,639,746,837,1040,157
"964","SD","South Dakota","25-0000","Education, Training, and Library Occupations","major",478,1.2,19.08,561,1.8,10.64,13.7,17.74,22.65,28.36,407,508,546,648,749
"965","SD","South Dakota","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",868,3.6,16.54,429,1.3,10.16,12,14.96,19.62,25.35,374,402,432,526,639
"966","SD","South Dakota","29-0000","Healthcare Practitioners and Technical Occupations","major",562,1,30.34,874,1.4,14.08,18.59,23.52,32.5,50.57,577,703,743,879,81
"967","SD","South Dakota","31-0000","Healthcare Support Occupations","major",88,2.2,12.23,214,0.9,9.26,10.22,11.67,13.95,16.57,282,269,252,302,411
"968","SD","South Dakota","33-0000","Protective Service Occupations","major",950,1.7,17.48,495,2.2,9.75,12.28,16.09,20.96,27.43,334,421,483,585,715
"969","SD","South Dakota","35-0000","Food Preparation and Serving Related Occupations","major",724,1.8,9.31,97,0.5,7.69,8.15,8.92,10.3,11.89,67,76,95,197,330
"970","SD","South Dakota","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",306,2.8,10.99,165,1,7.96,8.83,10.43,12.61,14.8,111,151,178,265,371
"971","SD","South Dakota","39-0000","Personal Care and Service Occupations","major",188,3.1,11.08,169,1.1,7.95,8.79,10.34,12.54,15.58,110,146,169,262,386
"972","SD","South Dakota","41-0000","Sales and Related Occupations","major",825,1.4,16.17,405,1.6,8.05,8.94,11.52,19.05,29.49,126,163,243,501,787
"973","SD","South Dakota","43-0000","Office and Administrative Support Occupations","major",991,1,13.5,269,0.5,8.98,10.56,12.86,15.72,18.83,40,295,304,363,486
"974","SD","South Dakota","45-0000","Farming, Fishing, and Forestry Occupations","major",65,7.4,13.56,272,2,9.8,10.81,12.7,14.98,19.11,339,316,299,344,490
"975","SD","South Dakota","47-0000","Construction and Extraction Occupations","major",387,1.7,16.55,430,0.8,10.62,12.62,15.5,19.27,24.19,405,450,461,515,612
"976","SD","South Dakota","49-0000","Installation, Maintenance, and Repair Occupations","major",268,2.3,20.12,615,0.9,12.58,15.05,18.42,23.82,31.05,520,585,579,685,831
"977","SD","South Dakota","51-0000","Production Occupations","major",620,1.7,14.81,326,0.7,10.1,11.94,14.05,17.07,20.52,368,43,377,403,518
"978","SD","South Dakota","53-0000","Transportation and Material Moving Occupations","major",569,2,14.44,309,1.2,8.93,10.6,13.18,16.82,22.26,37,24,321,392,560
"979","TN","Tennessee","11-0000","Management Occupations","major",260,0.9,43.29,1095,0.6,16.72,24.39,36.49,53.48,79.05,690,871,1036,96,299
"980","TN","Tennessee","13-0000","Business and Financial Operations Occupations","major",1183,2.8,29.42,855,0.9,14.89,19.52,26.39,35.35,46.47,616,742,822,946,1115
"981","TN","Tennessee","15-0000","Computer and Mathematical Occupations","major",823,2,32.86,924,1,16.95,22.6,31.64,41.97,51.38,700,835,940,1055,90
"982","TN","Tennessee","17-0000","Architecture and Engineering Occupations","major",762,2.6,35.89,995,1.4,18.31,24.59,33.52,44.42,55.78,741,877,973,1092,145
"983","TN","Tennessee","19-0000","Life, Physical, and Social Science Occupations","major",273,3.1,29.57,858,2.1,14.34,19.12,26.01,36.65,49.82,591,727,814,971,71
"984","TN","Tennessee","21-0000","Community and Social Service Occupations","major",551,1.8,18.7,546,1.1,10.7,13.77,17.89,22.21,28.8,410,512,550,627,766
"985","TN","Tennessee","23-0000","Legal Occupations","major",212,3.4,38.14,1033,2.9,13.78,19.41,29.35,48.61,74.71,571,738,906,58,282
"986","TN","Tennessee","25-0000","Education, Training, and Library Occupations","major",279,1.8,20.74,640,1.5,8.72,12.3,20.23,26.23,32.7,211,422,649,750,874
"987","TN","Tennessee","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",561,4.9,22.97,717,2.5,9.13,12.38,18.17,27.07,37.54,263,427,561,775,995
"988","TN","Tennessee","29-0000","Healthcare Practitioners and Technical Occupations","major",377,1.3,31.33,895,1.1,13.18,17.6,24.66,34.06,56.98,548,678,769,914,162
"989","TN","Tennessee","31-0000","Healthcare Support Occupations","major",1060,2,12.59,228,0.9,8.28,9.59,11.44,14.31,18.21,160,226,235,319,467
"990","TN","Tennessee","33-0000","Protective Service Occupations","major",987,2.3,16.45,427,1.5,8.4,10.55,15.05,20.95,26.64,176,294,438,584,679
"991","TN","Tennessee","35-0000","Food Preparation and Serving Related Occupations","major",504,1.3,9.36,100,0.5,7.66,8.09,8.79,9.81,12.69,62,65,81,182,336
"992","TN","Tennessee","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",1108,2.2,11.03,167,0.8,7.83,8.47,9.7,12.46,16.6,91,110,148,261,413
"993","TN","Tennessee","39-0000","Personal Care and Service Occupations","major",995,2.2,10.81,157,1,7.75,8.29,9.2,11.5,16.68,76,89,119,232,417
"994","TN","Tennessee","41-0000","Sales and Related Occupations","major",544,1.2,16.4,422,1,7.98,8.79,11.23,18.43,31.25,115,147,222,476,840
"995","TN","Tennessee","43-0000","Office and Administrative Support Occupations","major",806,0.8,15.48,363,0.4,8.9,10.97,14.11,18.32,24.07,237,329,385,469,608
"996","TN","Tennessee","45-0000","Farming, Fishing, and Forestry Occupations","major",616,6.6,12.9,241,2.1,8.21,9.44,11.25,14.78,20.18,4,213,224,339,511
"997","TN","Tennessee","47-0000","Construction and Extraction Occupations","major",1123,1.9,17.8,505,0.6,10.56,12.95,16.47,21.3,27.4,400,465,495,599,712
"998","TN","Tennessee","49-0000","Installation, Maintenance, and Repair Occupations","major",154,1.5,19.92,20,0.6,10.76,13.86,18.42,24.95,31.94,417,518,580,712,851
"999","TN","Tennessee","51-0000","Production Occupations","major",506,1.8,15.83,381,1.4,8.82,10.93,14.53,18.68,25.55,229,324,407,489,646
"1000","TN","Tennessee","53-0000","Transportation and Material Moving Occupations","major",525,2.9,15.2,351,1.1,8.35,9.92,13.33,18.03,24.93,170,243,328,448,633
"1001","TX","Texas","11-0000","Management Occupations","major",840,0.8,53.21,70,0.4,22.09,31.69,45,66.74,NA,837,990,1100,149,56
"1002","TX","Texas","13-0000","Business and Financial Operations Occupations","major",887,1.2,34.44,957,0.5,16.79,22.4,30.52,41.61,55.84,695,831,927,1047,149
"1003","TX","Texas","15-0000","Computer and Mathematical Occupations","major",635,1.7,38.42,1038,0.7,18.65,26.12,36.6,48.65,60.77,753,924,1039,59,199
"1004","TX","Texas","17-0000","Architecture and Engineering Occupations","major",489,2.4,42.86,1090,1.2,18.51,26.45,37.81,53.84,72.09,746,933,1053,97,275
"1005","TX","Texas","19-0000","Life, Physical, and Social Science Occupations","major",1092,2.2,35.28,981,2.1,14.41,19.85,27.85,42.49,65.4,593,753,866,1061,224
"1006","TX","Texas","21-0000","Community and Social Service Occupations","major",1185,1.4,21.64,671,0.7,12.67,15.92,20.36,26.87,33.07,524,622,652,767,888
"1007","TX","Texas","23-0000","Legal Occupations","major",1034,1.7,47.17,1123,2,15.91,23.11,36.37,62.05,NA,660,846,1033,138,56
"1008","TX","Texas","25-0000","Education, Training, and Library Occupations","major",1005,1.6,23.21,721,1.2,9.17,14.89,22.53,27.61,34.36,268,573,715,787,923
"1009","TX","Texas","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",106,2.1,22.55,708,0.9,9.17,12.67,19.06,28.33,38.94,269,454,604,806,1017
"1010","TX","Texas","29-0000","Healthcare Practitioners and Technical Occupations","major",929,1.1,34.51,959,0.7,14.62,20.19,28.55,39.06,58.52,606,766,884,1012,182
"1011","TX","Texas","31-0000","Healthcare Support Occupations","major",558,1.4,12.83,236,0.8,8.15,9.31,11.53,14.65,18.4,142,202,244,335,474
"1012","TX","Texas","33-0000","Protective Service Occupations","major",578,1.2,19.51,578,1.9,8.76,11.37,17.11,25.13,34.19,219,363,520,715,918
"1013","TX","Texas","35-0000","Food Preparation and Serving Related Occupations","major",1187,0.5,9.75,115,0.4,7.68,8.14,8.89,10.43,13.71,66,73,94,201,353
"1014","TX","Texas","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",640,1,10.64,144,0.5,7.79,8.4,9.46,11.8,15.21,86,102,138,244,378
"1015","TX","Texas","39-0000","Personal Care and Service Occupations","major",709,1.5,10.02,124,0.7,7.67,8.1,8.82,10.12,14.31,64,68,85,190,363
"1016","TX","Texas","41-0000","Sales and Related Occupations","major",58,0.8,18.66,544,0.7,8.06,8.97,12.03,21.57,37.26,129,168,269,606,990
"1017","TX","Texas","43-0000","Office and Administrative Support Occupations","major",75,0.5,16.12,401,0.2,8.86,11.07,14.55,19.37,25.89,232,340,410,518,658
"1018","TX","Texas","45-0000","Farming, Fishing, and Forestry Occupations","major",244,6.4,12.02,208,2.4,7.8,8.48,10,13.98,20.19,87,111,158,305,512
"1019","TX","Texas","47-0000","Construction and Extraction Occupations","major",923,1.3,18.6,537,0.6,10.27,12.68,16.44,22.07,29.45,384,455,494,620,786
"1020","TX","Texas","49-0000","Installation, Maintenance, and Repair Occupations","major",834,1,20.09,613,0.4,10.2,13.55,18.4,25.21,32.39,380,499,578,718,863
"1021","TX","Texas","51-0000","Production Occupations","major",1002,1.2,16.68,440,0.6,8.54,10.37,14.17,20.15,29.08,190,280,390,549,778
"1022","TX","Texas","53-0000","Transportation and Material Moving Occupations","major",1062,1.5,15.91,388,1.4,8.26,9.56,13.25,18.55,26.65,157,6,324,483,680
"1023","UT","Utah","11-0000","Management Occupations","major",938,1.8,44.45,1104,0.9,18.64,26.98,39.18,55.23,76.34,753,947,1063,107,289
"1024","UT","Utah","13-0000","Business and Financial Operations Occupations","major",969,2,30.32,871,1.2,15.67,20.64,27.63,36.87,46.8,654,780,860,979,1120
"1025","UT","Utah","15-0000","Computer and Mathematical Occupations","major",688,2.1,34.43,956,0.9,16.93,23.85,33.75,43.65,53.81,699,859,977,1083,114
"1026","UT","Utah","17-0000","Architecture and Engineering Occupations","major",522,2.9,34.98,974,1.3,19.16,25.28,33.35,43,53.24,774,900,967,1071,107
"1027","UT","Utah","19-0000","Life, Physical, and Social Science Occupations","major",81,3,27.04,799,1.6,13.08,17.24,24.71,33.62,43.27,546,666,771,903,1063
"1028","UT","Utah","21-0000","Community and Social Service Occupations","major",305,2.3,18.85,553,2.5,9.74,12.06,17.44,23.42,30.29,332,408,534,670,813
"1029","UT","Utah","23-0000","Legal Occupations","major",1077,3.4,41.67,1078,4.1,14.73,21.26,33.49,52.83,78.48,609,800,971,92,295
"1030","UT","Utah","25-0000","Education, Training, and Library Occupations","major",1098,2.5,22.2,693,7.7,9.28,11.71,18.22,27.67,37.44,284,385,565,791,992
"1031","UT","Utah","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",308,3.5,21.61,669,1.9,8.94,12.24,18.41,27.06,36,242,419,579,774,963
"1032","UT","Utah","29-0000","Healthcare Practitioners and Technical Occupations","major",940,2.7,33.44,933,2.3,13.2,18.87,27.45,36.5,58.52,549,715,853,967,183
"1033","UT","Utah","31-0000","Healthcare Support Occupations","major",628,2.4,12.6,229,0.8,9.08,10.24,11.85,14.1,17.09,43,271,262,312,424
"1034","UT","Utah","33-0000","Protective Service Occupations","major",517,10,18.24,519,1.9,8.67,11.17,16.97,23.19,30,26,349,518,16,803
"1035","UT","Utah","35-0000","Food Preparation and Serving Related Occupations","major",1165,1.1,10.07,126,1.2,7.71,8.2,9.01,11.01,14.24,72,82,102,216,361
"1036","UT","Utah","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",716,2.6,11.16,172,1,7.83,8.51,9.89,12.74,17.02,92,117,152,268,423
"1037","UT","Utah","39-0000","Personal Care and Service Occupations","major",547,2.9,11.69,195,1.5,7.83,8.53,9.97,13.28,18.37,92,120,156,280,473
"1038","UT","Utah","41-0000","Sales and Related Occupations","major",236,1.7,18,511,1.4,8.11,9.11,12.14,20.48,34.71,136,181,273,563,930
"1039","UT","Utah","43-0000","Office and Administrative Support Occupations","major",469,1.9,15.4,358,0.6,9.22,11.09,14.1,18.17,23.33,277,342,382,462,586
"1040","UT","Utah","45-0000","Farming, Fishing, and Forestry Occupations","major",59,20.6,13.09,253,4.2,8.13,9.3,11.25,16.13,21.39,138,200,225,377,538
"1041","UT","Utah","47-0000","Construction and Extraction Occupations","major",1031,4.1,19.67,591,1.1,11.53,14.35,18.27,24.14,28.96,467,547,570,693,772
"1042","UT","Utah","49-0000","Installation, Maintenance, and Repair Occupations","major",896,3.1,21.54,664,1.3,10.86,14.94,20.65,26.94,33.32,426,578,659,771,15
"1043","UT","Utah","51-0000","Production Occupations","major",1116,2.2,16.62,433,0.9,9.23,11.38,14.98,19.97,26.91,279,363,434,540,690
"1044","UT","Utah","53-0000","Transportation and Material Moving Occupations","major",1067,2.5,16.86,451,2.3,8.54,10.45,14.85,20.55,27.31,191,290,426,566,707
"1045","VT","Vermont","11-0000","Management Occupations","major",184,3.3,45.72,1113,1.9,20.28,28.42,40.14,55.18,78.2,806,962,1076,106,294
"1046","VT","Vermont","13-0000","Business and Financial Operations Occupations","major",245,2.1,30.19,869,1,17.09,21.45,27.61,36.02,44.97,706,804,857,961,1090
"1047","VT","Vermont","15-0000","Computer and Mathematical Occupations","major",952,6,32.95,927,1.5,17.39,22.32,30.5,40.56,52.83,723,828,926,1031,104
"1048","VT","Vermont","17-0000","Architecture and Engineering Occupations","major",953,16.3,33.18,930,2.3,19.88,24.83,30.8,38.71,50.2,795,884,928,1008,77
"1049","VT","Vermont","19-0000","Life, Physical, and Social Science Occupations","major",596,12.8,28.15,827,1.9,15.87,19.35,25.17,32.96,43.19,658,733,779,889,1061
"1050","VT","Vermont","21-0000","Community and Social Service Occupations","major",1023,2.6,19.69,592,2.2,12.07,14.07,17.8,23.33,29.68,494,532,548,668,794
"1051","VT","Vermont","23-0000","Legal Occupations","major",399,4.7,36.8,1009,6.8,16.64,20.76,27.6,43.1,70.16,687,785,856,1073,261
"1052","VT","Vermont","25-0000","Education, Training, and Library Occupations","major",536,4,23.53,732,4.1,10.46,13.61,20.05,29.26,38.49,396,502,641,829,1014
"1053","VT","Vermont","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",863,4.5,20.67,634,2.8,9.25,12.55,17.78,25.94,35.03,282,441,41,737,939
"1054","VT","Vermont","29-0000","Healthcare Practitioners and Technical Occupations","major",383,6.4,34.89,970,2.5,16.06,21.98,28.57,39.39,61.38,662,818,886,1014,205
"1055","VT","Vermont","31-0000","Healthcare Support Occupations","major",955,4.4,14.82,327,1.4,10.03,11.7,13.73,16.96,21.17,358,41,357,397,531
"1056","VT","Vermont","33-0000","Protective Service Occupations","major",744,5.4,19.46,575,2.3,10.73,13.9,17.37,22.79,29.77,413,521,531,652,798
"1057","VT","Vermont","35-0000","Food Preparation and Serving Related Occupations","major",494,2.1,12.33,218,1.5,8.84,9.21,10.72,13.76,17.93,32,193,191,295,456
"1058","VT","Vermont","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",82,3.6,13.29,265,1.2,9.11,10.16,12.43,15.26,18.32,261,263,286,352,471
"1059","VT","Vermont","39-0000","Personal Care and Service Occupations","major",211,2.4,13.2,257,2.3,9.07,9.81,11.13,14.03,19.35,256,236,217,308,496
"1060","VT","Vermont","41-0000","Sales and Related Occupations","major",572,2.3,16.98,457,1.9,8.94,9.54,12.19,19.25,29.94,243,221,275,513,802
"1061","VT","Vermont","43-0000","Office and Administrative Support Occupations","major",774,1.5,16.64,436,0.6,10.09,12.46,15.73,19.62,24.6,365,433,467,526,623
"1062","VT","Vermont","45-0000","Farming, Fishing, and Forestry Occupations","major",1074,10.8,13.73,275,3.6,9.2,10.09,11.61,15.65,20.65,273,13,249,362,522
"1063","VT","Vermont","47-0000","Construction and Extraction Occupations","major",240,2.6,19.27,568,1.1,12.17,14.97,18.08,22.27,27.65,501,579,555,632,723
"1064","VT","Vermont","49-0000","Installation, Maintenance, and Repair Occupations","major",173,3,20.7,636,1.2,12.03,15.07,19.05,25.24,32.72,490,588,603,29,876
"1065","VT","Vermont","51-0000","Production Occupations","major",418,3.5,17.09,465,2.1,10.27,12.38,15.23,20.07,26.84,385,428,448,545,687
"1066","VT","Vermont","53-0000","Transportation and Material Moving Occupations","major",275,3,16.67,439,1.6,9.48,11.45,15.2,19.6,26.53,305,367,446,525,674
"1067","VA","Virginia","11-0000","Management Occupations","major",335,1,59.46,80,0.7,26.28,37.32,54.17,73.85,NA,866,1010,64,161,56
"1068","VA","Virginia","13-0000","Business and Financial Operations Occupations","major",510,1.7,38.13,1032,0.7,19.33,25.53,35,46.5,61.53,781,906,1006,1124,206
"1069","VA","Virginia","15-0000","Computer and Mathematical Occupations","major",397,1.8,45.8,1114,0.8,23.47,32.31,44.37,57.58,70.56,851,995,1097,125,266
"1070","VA","Virginia","17-0000","Architecture and Engineering Occupations","major",1054,2.4,41.07,1069,1.5,20.67,27.71,37.93,51.36,66.51,822,954,1055,83,233
"1071","VA","Virginia","19-0000","Life, Physical, and Social Science Occupations","major",586,2.1,37.72,1025,1.5,16.89,22.67,33.78,49.58,65.75,696,837,978,65,227
"1072","VA","Virginia","21-0000","Community and Social Service Occupations","major",883,1.9,22.25,696,1.6,12.76,16.2,20.6,27.01,34.36,531,632,657,773,923
"1073","VA","Virginia","23-0000","Legal Occupations","major",696,2,47.21,1126,2,17.4,25.7,39.34,62.41,81.46,724,909,1066,139,307
"1074","VA","Virginia","25-0000","Education, Training, and Library Occupations","major",491,2.2,24.73,764,3.2,9.57,13.79,21.99,31.57,43.68,316,515,703,867,1071
"1075","VA","Virginia","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",816,2.4,27,797,1.6,9.69,14.9,22.81,34.52,47.26,324,575,721,924,1126
"1076","VA","Virginia","29-0000","Healthcare Practitioners and Technical Occupations","major",390,1.9,34.77,967,1,14.3,19.48,28.03,39.91,61.86,587,739,871,1026,207
"1077","VA","Virginia","31-0000","Healthcare Support Occupations","major",1127,1.8,13.51,270,0.8,8.63,10.15,12.37,15.62,19.65,201,261,282,360,501
"1078","VA","Virginia","33-0000","Protective Service Occupations","major",94,1.9,20.44,626,1.3,9.72,13.45,18.17,24.81,33.7,328,492,560,708,902
"1079","VA","Virginia","35-0000","Food Preparation and Serving Related Occupations","major",638,0.8,10.72,151,0.7,7.77,8.35,9.34,11.85,15.97,82,95,128,246,399
"1080","VA","Virginia","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",195,1.7,11.7,196,1.1,7.91,8.71,10.44,13.42,17.57,104,137,179,289,440
"1081","VA","Virginia","39-0000","Personal Care and Service Occupations","major",156,2.2,12.07,210,1.2,7.81,8.45,9.65,13.42,19.93,89,106,145,289,504
"1082","VA","Virginia","41-0000","Sales and Related Occupations","major",710,0.9,17.92,509,0.8,8.05,8.96,11.76,20.46,35.23,128,167,259,560,946
"1083","VA","Virginia","43-0000","Office and Administrative Support Occupations","major",913,0.7,16.97,456,0.5,9.17,11.76,15.5,20.64,26.83,269,389,462,569,686
"1084","VA","Virginia","45-0000","Farming, Fishing, and Forestry Occupations","major",868,7,14.56,313,2.2,8.27,9.81,13.13,17.57,22.66,7,236,320,426,569
"1085","VA","Virginia","47-0000","Construction and Extraction Occupations","major",277,1.3,19.58,585,0.7,11.35,14.14,17.85,23.57,29.88,454,534,549,675,801
"1086","VA","Virginia","49-0000","Installation, Maintenance, and Repair Occupations","major",253,1.4,21.88,680,0.6,11.67,15.3,20.5,27.45,34.28,472,597,655,785,920
"1087","VA","Virginia","51-0000","Production Occupations","major",356,1.7,16.66,437,1.4,8.85,10.94,14.97,20.64,27.34,32,326,433,570,709
"1088","VA","Virginia","53-0000","Transportation and Material Moving Occupations","major",449,1.5,16.45,426,1.4,8.5,10.25,14.21,19.65,26.92,17,273,391,528,691
"1089","WA","Washington","11-0000","Management Occupations","major",228,0.9,54.47,71,0.8,25.6,35.82,49.52,66.85,89.41,862,1008,58,150,322
"1090","WA","Washington","13-0000","Business and Financial Operations Occupations","major",327,1.1,35.58,988,2.4,19.65,24.91,32.59,43,55.91,790,888,956,1072,152
"1091","WA","Washington","15-0000","Computer and Mathematical Occupations","major",250,1.3,46.88,1120,5.6,24.59,34.06,46.6,57.7,69.77,857,1003,1108,126,257
"1092","WA","Washington","17-0000","Architecture and Engineering Occupations","major",1056,2.4,41.02,1067,1.3,24.06,30.99,39.91,50.37,60.65,854,987,1074,74,198
"1093","WA","Washington","19-0000","Life, Physical, and Social Science Occupations","major",667,2,33.14,928,1.9,17.06,22.28,30.25,40.53,52.38,705,827,920,1030,98
"1094","WA","Washington","21-0000","Community and Social Service Occupations","major",811,2.7,20.94,646,1,11.3,14.6,19.59,25.71,32.41,451,558,622,730,864
"1095","WA","Washington","23-0000","Legal Occupations","major",413,2.5,44.12,1100,3.2,18.9,25.36,35.83,55.3,80,765,903,1021,108,302
"1096","WA","Washington","25-0000","Education, Training, and Library Occupations","major",350,1.7,24.49,761,4.2,12.91,16.25,22.54,30.92,36.04,539,636,716,857,965
"1097","WA","Washington","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",776,2.9,25.48,779,1.7,10.75,14.69,21.7,32.43,44.21,416,562,696,877,1081
"1098","WA","Washington","29-0000","Healthcare Practitioners and Technical Occupations","major",278,2.7,39.04,1043,1.1,18.19,24.64,34.38,45.12,59.49,737,880,994,1105,192
"1099","WA","Washington","31-0000","Healthcare Support Occupations","major",1047,2.3,16.22,411,0.8,10.52,12.35,15.08,18.6,22.96,398,423,439,485,574
"1100","WA","Washington","33-0000","Protective Service Occupations","major",930,2,24.56,762,1.9,10.39,13.5,21.27,33.87,43.22,392,496,681,909,1062
"1101","WA","Washington","35-0000","Food Preparation and Serving Related Occupations","major",503,1.2,12.1,211,0.8,9.23,9.33,10.42,13.31,17.48,279,204,177,281,437
"1102","WA","Washington","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",1099,2.1,14.02,288,0.8,9.35,10.32,12.86,16.58,20.42,292,277,303,386,516
"1103","WA","Washington","39-0000","Personal Care and Service Occupations","major",1119,2.7,13.76,277,1,9.32,9.91,11.35,14.85,22.36,288,242,230,342,562
"1104","WA","Washington","41-0000","Sales and Related Occupations","major",623,1.2,19.27,567,1,9.38,10.48,13.93,21.9,36.11,295,291,369,614,966
"1105","WA","Washington","43-0000","Office and Administrative Support Occupations","major",755,0.8,18.28,523,0.3,10.76,13.44,17.21,21.94,27.17,417,490,524,615,703
"1106","WA","Washington","45-0000","Farming, Fishing, and Forestry Occupations","major",302,5.2,14.8,325,2.2,9.25,9.55,11.62,18.65,24.61,281,223,250,487,624
"1107","WA","Washington","47-0000","Construction and Extraction Occupations","major",161,1.4,25.8,783,0.8,13.89,17.86,24.66,32.78,40.37,574,686,770,886,1031
"1108","WA","Washington","49-0000","Installation, Maintenance, and Repair Occupations","major",122,1.7,24.22,753,0.8,12.81,16.75,23.11,30.18,38.23,533,651,731,847,1010
"1109","WA","Washington","51-0000","Production Occupations","major",330,1.6,19.72,593,2.8,10.19,12.81,17.48,24.19,33.9,378,461,536,694,911
"1110","WA","Washington","53-0000","Transportation and Material Moving Occupations","major",379,2.5,18.44,530,1.6,9.53,11.52,16.02,21.99,31.1,312,371,479,618,832
"1111","WV","West Virginia","11-0000","Management Occupations","major",650,1.6,37.54,1020,1,15.51,22.21,32.46,45.27,65.76,644,824,954,1109,229
"1112","WV","West Virginia","13-0000","Business and Financial Operations Occupations","major",419,2,27.28,808,0.9,13.6,17.99,25.06,34.18,43.28,564,690,778,917,1063
"1113","WV","West Virginia","15-0000","Computer and Mathematical Occupations","major",1137,6,30.23,870,3.2,14.74,19.78,27.39,38.55,50.76,610,749,852,1005,83
"1114","WV","West Virginia","17-0000","Architecture and Engineering Occupations","major",1025,3.6,32.26,914,1.8,16.02,21.27,30.04,40.91,52.35,661,801,919,1037,97
"1115","WV","West Virginia","19-0000","Life, Physical, and Social Science Occupations","major",944,3.5,24.66,763,3,12.36,16.32,21.81,29.61,40.79,509,639,699,834,1036
"1116","WV","West Virginia","21-0000","Community and Social Service Occupations","major",1138,2.8,16.79,446,1.1,9.47,11.9,15.21,20.01,27.47,304,398,447,541,717
"1117","WV","West Virginia","23-0000","Legal Occupations","major",944,3.6,31.81,904,2.5,13.46,17.71,25.64,38.94,58.41,559,682,802,1010,180
"1118","WV","West Virginia","25-0000","Education, Training, and Library Occupations","major",785,3.4,21,650,1.5,9.87,14.99,20.11,25.59,30.17,343,581,643,727,808
"1119","WV","West Virginia","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",860,5.7,19.88,602,3,8.66,11.16,16.92,24.52,35.28,204,347,515,703,947
"1120","WV","West Virginia","29-0000","Healthcare Practitioners and Technical Occupations","major",908,3.2,29.91,865,1.4,12.14,16.66,23.65,33.14,55.16,498,649,749,895,133
"1121","WV","West Virginia","31-0000","Healthcare Support Occupations","major",474,3.5,11.35,180,1.1,7.93,8.73,10.37,12.9,16.59,106,138,174,274,412
"1122","WV","West Virginia","33-0000","Protective Service Occupations","major",310,4.7,15.31,357,2.1,8.33,9.76,13.46,19.25,25.13,167,235,335,514,635
"1123","WV","West Virginia","35-0000","Food Preparation and Serving Related Occupations","major",993,1.3,9.33,98,0.9,7.65,8.06,8.73,9.47,12.31,61,63,76,178,332
"1124","WV","West Virginia","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",436,3.6,10.86,160,1,7.84,8.51,9.87,12.58,15.83,93,118,151,263,392
